French,English
cause,cause
jouer,to play
chaque,each
attention,Warning
laisser,let
car,because
matin,morning
sois,be
donné,given
venu,came
pouvoir,power
perdu,lost
plutôt,rather
voici,here is
heures,hours
seulement,only
donne,given
partie,part
parti,left
premier,first
train,train
savais,knew
enfin,finally
dirait,would say
pendant,while
vont,will
gros,large
frère,brother
pensais,thought
demandé,request
devant,in front of
aide,help
tellement,so much
vers,towards
bébé,baby
bureau,office
pardon,sorry
longtemps,long time
loin,far
donner,give
aucune,any
venez,come
yeux,eyes
mari,husband
mis,placed
police,police
parle,speak
ville,city
chercher,search
arrêter,Stop
mettre,to put
histoire,history
corps,body
type,type
boulot,job
revoir,meet again
attendez,Wait
terre,Earth
arrivé,come
aimerais,would like to
genre,kind
enfant,child
eau,water
compte,account
aucun,no
laisse,leash
vieux,old
façon,way
parlé,speak
aura,will have
chérie,sweetheart
écoute,listen
première,first
côté,side
affaire,case
point,point
suite,after
nouvelle,new
devrait,should
minutes,minutes
main,hand
étaient,were
chambre,bedroom
place,square
pourrais,could
tiens,here
belle,beautiful
demande,request
aujourd'hui,today
eux,them
fin,end
trouve,find
droit,law
croire,believe
leurs,their
dont,whose
endroit,place
mois,month
espère,hope
compris,understood
filles,girls
